type,name,city,region,postalCode,url,min,max
"domaine-mariage","Le Clos du Mogador","Pierrelatte","Drôme","26700","https://www.mariages.net/domaine-mariage/le-clos-du-mogador--e126005",50,100
"chateau-mariage","Le Château du Montalieu","Saint-Vincent-de-Mercuze","Isère","38660","https://www.mariages.net/chateau-mariage/le-chateau-du-montalieu--e106626",30,200
"chateau-mariage","Château de Rajat","Saint-Pierre-de-Chandieu","Rhône","69780","https://www.mariages.net/chateau-mariage/chateau-de-rajat--e157034",50,190
"domaine-mariage","La Bastie de la Jonchère","Beauregard-Baret","Drôme","26300","https://www.mariages.net/domaine-mariage/la-bastie-de-la-jonchere--e182341",20,194
"domaine-mariage","Domaine d'Amareins","Amareins Francheleins Ces","Ain","01090","https://www.mariages.net/domaine-mariage/domaine-damareins--e259550",60,700
"domaine-mariage","Château de Tresserve","Tresserve","Savoie","73100","https://www.mariages.net/domaine-mariage/chateau-de-tresserve--e217605",30,300
"chateau-mariage","Château de Janzé","Marcilly-d'Azergues","Rhône","69380","https://www.mariages.net/chateau-mariage/chateau-de-janze--e118758",120,300
"chateau-mariage","Château des Broyers","La Chapelle-de-Guinchay","Saône et Loire","71570","https://www.mariages.net/chateau-mariage/chateau-des-broyers--e128982",2,400
"domaine-mariage","Domaine de Villeroy","Champdieu","Loire","42600","https://www.mariages.net/domaine-mariage/domaine-de-villeroy--e160224",10,180
"domaine-mariage","Domaine de Belfonds","Grignan","Drôme","26230","https://www.mariages.net/domaine-mariage/domaine-de-belfonds--e207963",10,200
"domaine-mariage","Domaine Clairfontaine","Noyarey","Isère","38360","https://www.mariages.net/domaine-mariage/domaine-clairfontaine--e238508",1,200
"domaine-mariage","Les Brouilles","Malafretaz","Ain","01340","https://www.mariages.net/domaine-mariage/les-brouilles--e107194",20,130
"domaine-mariage","Domaine de Senaud","Albon","Drôme","26140","https://www.mariages.net/domaine-mariage/domaine-de-senaud--e178563",10,160
"chateau-mariage","Château du Souzy","Quincié-en-Beaujolais","Rhône","69430","https://www.mariages.net/chateau-mariage/chateau-du-souzy--e199619",20,190
"domaine-mariage","Château des Vierres","Lantignié","Rhône","69430","https://www.mariages.net/domaine-mariage/chateau-des-vierres--e248709",0,140
"domaine-mariage","Domaine de Montfriol","Chambost-Allières","Rhône","69870","https://www.mariages.net/domaine-mariage/domaine-de-montfriol--e146194",0,150
"chateau-mariage","Château de Montolivet","Passins","Isère","38510","https://www.mariages.net/chateau-mariage/chateau-de-montolivet--e155761",40,400
"chateau-mariage","Château Talancé","Denicé","Rhône","69640","https://www.mariages.net/chateau-mariage/chateau-talance--e8099",100,200
"salle-mariage","Kesh Reception","Saint-Priest","Rhône","69800","https://www.mariages.net/salle-mariage/kesh-reception--e345520",20,200
"domaine-mariage","Le Flamant Rose","Saint-Martin-la-Plaine","Loire","42800","https://www.mariages.net/domaine-mariage/le-flamant-rose--e122428",30,250
"domaine-mariage","Domaine de Valsoyo","Upie","Drôme","26120","https://www.mariages.net/domaine-mariage/domaine-de-valsoyo--e151142",10,600
"domaine-mariage","Clos des Liesses","Alix","Rhône","69380","https://www.mariages.net/domaine-mariage/clos-des-liesses--e71772",0,200
"chateau-mariage","Château de la Baume","Seyssins","Isère","38180","https://www.mariages.net/chateau-mariage/chateau-de-la-baume--e136870",15,150
"domaine-mariage","Les Lodges de Babylone","Larringes","Haute-Savoie","74500","https://www.mariages.net/domaine-mariage/les-lodges-de-babylone--e149457",20,250
"domaine-mariage","Les Ranchisses","Chassiers","Ardèche","07110","https://www.mariages.net/domaine-mariage/les-ranchisses--e173751",0,250
"domaine-mariage","Domaine du Trusquin","Pierrelatte","Drôme","26700","https://www.mariages.net/domaine-mariage/domaine-du-trusquin--e52810",50,200
"salle-mariage","La Palmeraie de la Tour","La Tour-de-Salvagny","Rhône","69890","https://www.mariages.net/salle-mariage/la-palmeraie-de-la-tour--e15595",90,450
"chateau-mariage","Château de Césarges","Maubec","Isère","38300","https://www.mariages.net/chateau-mariage/chateau-de-cesarges--e8019",10,150
"chateau-mariage","Château des Loges","Le Perréon","Rhône","69460","https://www.mariages.net/chateau-mariage/chateau-des-loges--e71750",30,300
"salle-mariage","Castel'Anne","Voiron","Isère","38500","https://www.mariages.net/salle-mariage/castelanne--e316576",30,200
"chateau-mariage","Château la Gallée","Millery","Rhône","69390","https://www.mariages.net/chateau-mariage/chateau-la-gallee--e137629",70,150
"domaine-mariage","Domaine des Sources","Denicé","Rhône","69640","https://www.mariages.net/domaine-mariage/domaine-des-sources--e141455",0,150
"domaine-mariage","Domaine de Tourieux","Savigny","Rhône","69210","https://www.mariages.net/domaine-mariage/domaine-de-tourieux--e212401",0,110
"domaine-mariage","Domaine de Prales","Perrex","Ain","01540","https://www.mariages.net/domaine-mariage/domaine-de-prales--e312472",0,160
"chateau-mariage","Château des Ayes","Saint-Étienne-de-Saint-Geoirs","Isère","38590","https://www.mariages.net/chateau-mariage/chateau-des-ayes--e137350",1,300
"salle-mariage","Jacques Lafargue Salle Aqueducs","Chaponost","Rhône","69630","https://www.mariages.net/salle-mariage/jacques-lafargue-salle-aqueducs--e145993",60,250
"domaine-mariage","Les Lodges du Lac","Saint-Alban-de-Montbel","Savoie","73610","https://www.mariages.net/domaine-mariage/les-lodges-du-lac--e158578",70,300
"chateau-mariage","Château de la Palud","Moye","Haute-Savoie","74150","https://www.mariages.net/chateau-mariage/chateau-de-la-palud--e174407",0,200
"domaine-mariage","Domaine de Suzel","Vignieu","Isère","38890","https://www.mariages.net/domaine-mariage/domaine-de-suzel--e113525",20,200
"domaine-mariage","Prieuré Saint Pierre","Montjoyer","Drôme","26230","https://www.mariages.net/domaine-mariage/prieure-saint-pierre--e245761",0,150
"domaine-mariage","Domaine du Colombier","Sandrans","Ain","01400","https://www.mariages.net/domaine-mariage/domaine-du-colombier--e177095",0,180
"domaine-mariage","Domaine de Vavril","Beaujeu","Rhône","69430","https://www.mariages.net/domaine-mariage/domaine-de-vavril--e105355",1,150
"domaine-mariage","Domaine des Batières","Marlieux","Ain","01240","https://www.mariages.net/domaine-mariage/domaine-des-batieres--e114772",50,300
"domaine-mariage","Le Clos Vernay","Nivolas-Vermelle","Isère","38300","https://www.mariages.net/domaine-mariage/le-clos-vernay--e179891",75,140
"chateau-mariage","Château de Saint Trys","Anse","Rhône","69480","https://www.mariages.net/chateau-mariage/chateau-de-saint-trys--e122778",30,500
"domaine-mariage","Domaine des Séquoias","Ruy","Isère","38300","https://www.mariages.net/domaine-mariage/domaine-des-sequoias--e261633",50,200
"domaine-mariage","Domaine de Chanteperdrix","Allex","Drôme","26400","https://www.mariages.net/domaine-mariage/domaine-de-chanteperdrix--e205511",0,250
"salle-mariage","Les Terrasses du Parc","Villeurbanne","Rhône","69100","https://www.mariages.net/salle-mariage/les-terrasses-du-parc--e8102",70,460
"domaine-mariage","Domaine des Saints Pères","Montagnole","Savoie","73000","https://www.mariages.net/domaine-mariage/domaine-des-saints-peres--e121814",30,200
"domaine-mariage","Domaine de Jujurieux","Jujurieux","Ain","01640","https://www.mariages.net/domaine-mariage/domaine-de-jujurieux--e169506",1,230
"domaine-mariage","Domaine des Grands Cèdres","Cordelle","Loire","42123","https://www.mariages.net/domaine-mariage/domaine-des-grands-cedres--e132811",30,180
"domaine-mariage","La Cour Dorée","Charnay","Rhône","69380","https://www.mariages.net/domaine-mariage/la-cour-doree--e108355",1,100
"domaine-mariage","Le Domaine des Oliviers","Légny","Rhône","69620","https://www.mariages.net/domaine-mariage/le-domaine-des-oliviers--e90322",100,280
"chateau-mariage","Château Chapeau Cornu ****","Vignieu","Isère","38890","https://www.mariages.net/chateau-mariage/chateau-chapeau-cornu--e9107",50,300
"domaine-mariage","La Ferme de Montin","Vezeronce","Isère","38510","https://www.mariages.net/domaine-mariage/la-ferme-de-montin--e247787",50,130
"domaine-mariage","Domaine du Gouverneur - Château du Breuil","Monthieux","Ain","01390","https://www.mariages.net/domaine-mariage/domaine-du-gouverneur-chateau-du-breuil--e159500",50,350
"domaine-mariage","Les Domaines de Patras","Solérieux","Drôme","26130","https://www.mariages.net/domaine-mariage/les-domaines-de-patras--e131173",50,250
"domaine-mariage","La Ruisselière","Lacenas","Rhône","69460","https://www.mariages.net/domaine-mariage/la-ruisseliere--e10566",15,350
"domaine-mariage","La Bastide des Hirondelles","Saint-Laurent-d'Oingt","Rhône","69620","https://www.mariages.net/domaine-mariage/la-bastide-des-hirondelles--e151050",80,200
"domaine-mariage","Domaine de Grand Maison","Oytier-Saint-Oblas","Isère","38780","https://www.mariages.net/domaine-mariage/domaine-de-grand-maison--e8029",40,200
"domaine-mariage","Abbaye de Talloires","Talloires","Haute-Savoie","74290","https://www.mariages.net/domaine-mariage/abbaye-de-talloires--e10884",0,200
